id,url,title,date,imageUrl,thumbUrl
314850,http://lbry-web-007.amnh.org/digital/items/show/66253,"Detail of edge of steel dome, showing holes and cut out fringe, with city skyline view, Hayden Planetarium, October, 1953",1935-10,http://lbry-web-007.amnh.org/digital/files/original/79f74a7b69691b8971e75da7a592ee20.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/79f74a7b69691b8971e75da7a592ee20.jpg
314823,http://lbry-web-007.amnh.org/digital/items/show/66252,"Gorilla group, African Hall, American Museum of Natural History, 1935",1935-12,http://lbry-web-007.amnh.org/digital/files/original/b89acda0f60db4611898ef91c9882299.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/b89acda0f60db4611898ef91c9882299.jpg
314802,http://lbry-web-007.amnh.org/digital/items/show/66251,"Possibly Nodosaurus, showing external skeleton, 1936",1936-01,http://lbry-web-007.amnh.org/digital/files/original/774dc66cfb98df74e37029b2438133d6.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/774dc66cfb98df74e37029b2438133d6.jpg
314661,http://lbry-web-007.amnh.org/digital/items/show/66250,"Mounted skeleton of Protoceratops andrewsi and model of the nest, 1935",1935-06,http://lbry-web-007.amnh.org/digital/files/original/ba5b7c529607a2c339185207c80a09a1.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/ba5b7c529607a2c339185207c80a09a1.jpg
314624,http://lbry-web-007.amnh.org/digital/items/show/66249,"How Birds are Mounted, arrangement of items, April, 1935",1935-04,http://lbry-web-007.amnh.org/digital/files/original/a0cbae0506f004cedb5831419e9369fb.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/a0cbae0506f004cedb5831419e9369fb.jpg
314575,http://lbry-web-007.amnh.org/digital/items/show/66248,"Group examining the Tring Collection, bird skins in storage",Unknown,http://lbry-web-007.amnh.org/digital/files/original/1f24c3442d8f31fef989fa657e670567.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/1f24c3442d8f31fef989fa657e670567.jpg
314474,http://lbry-web-007.amnh.org/digital/items/show/66247,"Harry Shupula, famous Snake Chief of the Hopi, September, 1939",1934-09,http://lbry-web-007.amnh.org/digital/files/original/be3a0d6a00345511322aee5b1982d83d.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/be3a0d6a00345511322aee5b1982d83d.jpg
314460,http://lbry-web-007.amnh.org/digital/items/show/66246,"Dr. James L. Clark with models of lions, July, 1937",1934-07,http://lbry-web-007.amnh.org/digital/files/original/74dcf01515391fbc81563cfbdcc71408.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/74dcf01515391fbc81563cfbdcc71408.jpg
314406,http://lbry-web-007.amnh.org/digital/items/show/66245,Mary Jobe Akeley (1878-1966),"[1926, approximately]",http://lbry-web-007.amnh.org/digital/files/original/f4b8156dadfdc314676633870bce789b.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/f4b8156dadfdc314676633870bce789b.jpg
314332,http://lbry-web-007.amnh.org/digital/items/show/66244,"The Lindbergh Plane, Hall of Ocean Life, January, 1934",1934-01,http://lbry-web-007.amnh.org/digital/files/original/0495c0203594077da0311dc54b29173a.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/0495c0203594077da0311dc54b29173a.jpg
314290,http://lbry-web-007.amnh.org/digital/items/show/66243,"Dr. Clyde Fisher and telescope, November, 1933",1933-11,http://lbry-web-007.amnh.org/digital/files/original/11b9e28edf014a2a39b330cf935871a0.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/11b9e28edf014a2a39b330cf935871a0.jpg
314223,http://lbry-web-007.amnh.org/digital/items/show/66242,"Barnum Brown and assistants working on Hoplitosaurus fragments, August, 1933",1933-08,http://lbry-web-007.amnh.org/digital/files/original/7849dc3499b223d5b9c007d10077a6bb.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/7849dc3499b223d5b9c007d10077a6bb.jpg
314221,http://lbry-web-007.amnh.org/digital/items/show/66241,"Barnum Brown and assistants working on Hoplitosaurus fragments, August, 1933",1933-08,http://lbry-web-007.amnh.org/digital/files/original/1e2671f3f255464114068692d84de8d1.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/1e2671f3f255464114068692d84de8d1.jpg
314218,http://lbry-web-007.amnh.org/digital/items/show/66240,"Barnum Brown and assistants working on Hoplitosaurus fragments, August, 1933",1933-08,http://lbry-web-007.amnh.org/digital/files/original/b2de2bb16cf99342bc329e600a722c1b.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/b2de2bb16cf99342bc329e600a722c1b.jpg
314205,http://lbry-web-007.amnh.org/digital/items/show/66239,"Group of instructors and graduate students at Columbia University April, 1898",1898-04,http://lbry-web-007.amnh.org/digital/files/original/dea1d570abc1860aeaedcdffda119877.jpg,http://lbry-web-007.amnh.org/digital/files/thumbnails/dea1d570abc1860aeaedcdffda119877.jpg
